"DRD370GQ.Code.or.Value","DRD370GQ.Value.Description","DRD370GQ.Count","DRD370GQ.Cumulative","DRD370GQ.Skip.to.Item"
"1 to 5","Range of Values",34,34,NA
".","Missing",9609,9643,NA
