"LB2RBF.Code.or.Value","LB2RBF.Value.Description","LB2RBF.Count","LB2RBF.Cumulative","LB2RBF.Skip.to.Item"
"86 to 1410","Range of Values",547,547,NA
".","Missing",4,551,NA
