"LBDPDELC.Code.or.Value","LBDPDELC.Value.Description","LBDPDELC.Count","LBDPDELC.Cumulative","LBDPDELC.Skip.to.Item"
"0","At or above the detection limit",299,299,NA
"1","Below lower detection limit",0,299,NA
".","Missing",2,301,NA
