"URDAAMLC.Code.or.Value","URDAAMLC.Value.Description","URDAAMLC.Count","URDAAMLC.Cumulative","URDAAMLC.Skip.to.Item"
"0","At or above the detection limit",2508,2508,NA
"1","Below lower detection limit",3,2511,NA
".","Missing",244,2755,NA
