"LBCBR3.Code.or.Value","LBCBR3.Value.Description","LBCBR3.Count","LBCBR3.Cumulative","LBCBR3.Skip.to.Item"
"18.37 to 1218","Range of Values",284,284,NA
".","Missing",0,284,NA
