"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.086 to 0.352","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
