"URXANBT.Code.or.Value","URXANBT.Value.Description","URXANBT.Count","URXANBT.Cumulative","URXANBT.Skip.to.Item"
"0.36 to 171","Range of Values",1119,1119,NA
".","Missing",1486,2605,NA
