"VTQ280C.Code.or.Value","VTQ280C.Value.Description","VTQ280C.Count","VTQ280C.Cumulative","VTQ280C.Skip.to.Item"
"1","Yes",258,258,NA
"2","No",2860,3118,NA
"7","Refused",0,3118,NA
"9","Don't know",0,3118,NA
".","Missing",297,3415,NA
