"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",117362,117362,NA
"2","Spanish",10661,128023,NA
"3","English and Spanish",1484,129507,NA
"4","Other",588,130095,NA
"5","Asian Languages",1035,131130,NA
"6","Asian Languages and English",264,131394,NA
".","Missing",0,131394,NA
