"LBDHXCLC.Code.or.Value","LBDHXCLC.Value.Description","LBDHXCLC.Count","LBDHXCLC.Cumulative","LBDHXCLC.Skip.to.Item"
"0","detectable result",896,896,NA
"1","below detectable limit",992,1888,NA
".","Missing",386,2274,NA
