"WHD020.Code.or.Value","WHD020.Value.Description","WHD020.Count","WHD020.Cumulative","WHD020.Skip.to.Item"
"60 to 420","Range of Values",5902,5902,NA
"77777","Refused",7,5909,NA
"99999","Don't know",130,6039,NA
".","Missing",5,6044,NA
