"BIXC060K.Code.or.Value","BIXC060K.Value.Description","BIXC060K.Count","BIXC060K.Cumulative","BIXC060K.Skip.to.Item"
"24.79 to 113.68","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
