"URXGAM.Code.or.Value","URXGAM.Value.Description","URXGAM.Count","URXGAM.Cumulative","URXGAM.Skip.to.Item"
"6.65 to 246","Range of Values",2636,2636,NA
".","Missing",119,2755,NA
