"URDMX1LC.Code.or.Value","URDMX1LC.Value.Description","URDMX1LC.Count","URDMX1LC.Cumulative","URDMX1LC.Skip.to.Item"
"0","At or above detection limit",2398,2398,NA
"1","Below lower detection limit",0,2398,NA
".","Missing",107,2505,NA
