"AUXRR110.Code.or.Value","AUXRR110.Value.Description","AUXRR110.Count","AUXRR110.Cumulative","AUXRR110.Skip.to.Item"
"-59 to 65","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
