"URXUTL.Code.or.Value","URXUTL.Value.Description","URXUTL.Count","URXUTL.Cumulative","URXUTL.Skip.to.Item"
"0.011 to 3.49","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
