"WTSB2YR.Code.or.Value","WTSB2YR.Value.Description","WTSB2YR.Count","WTSB2YR.Cumulative","WTSB2YR.Skip.to.Item"
"14832.673125 to 1395405.4654","Range of Values",2099,2099,NA
"0","No Lab Result",34,2133,NA
".","Missing",0,2133,NA
