"DXXPT36X.Code.or.Value","DXXPT36X.Value.Description","DXXPT36X.Count","DXXPT36X.Cumulative","DXXPT36X.Skip.to.Item"
"387 to 1031.5","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
