"WTSPO28.Code.or.Value","WTSPO28.Value.Description","WTSPO28.Count","WTSPO28.Cumulative","WTSPO28.Skip.to.Item"
"0.0000000 to 866782.1219400","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
