"WTSPH37.Code.or.Value","WTSPH37.Value.Description","WTSPH37.Count","WTSPH37.Cumulative","WTSPH37.Skip.to.Item"
"0.0000000 to 785043.8441600","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
