"RFXT123.Code.or.Value","RFXT123.Value.Description","RFXT123.Count","RFXT123.Cumulative","RFXT123.Skip.to.Item"
"1070 to 1079","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
