"ECQ020.Code.or.Value","ECQ020.Value.Description","ECQ020.Count","ECQ020.Cumulative","ECQ020.Skip.to.Item"
"1","Yes",564,564,""
"2","No",3599,4163,"ECQ060"
"7","Refused",0,4163,"ECQ060"
"9","Don't know",44,4207,"ECQ060"
".","Missing",2,4209,""
