"DRQ350AQ.Code.or.Value","DRQ350AQ.Value.Description","DRQ350AQ.Count","DRQ350AQ.Cumulative","DRQ350AQ.Skip.to.Item"
"1 to 6","Range of Values",397,397,NA
".","Missing",8885,9282,NA
