"KIQ046.Code.or.Value","KIQ046.Value.Description","KIQ046.Count","KIQ046.Cumulative","KIQ046.Skip.to.Item"
"1","Yes",479,479,""
"2","No",4463,4942,"KIQ048A"
"7","Refused",1,4943,"KIQ048A"
"9","Don't know",8,4951,"KIQ048A"
".","Missing",768,5719,""
