"DR2DAY.Code.or.Value","DR2DAY.Value.Description","DR2DAY.Count","DR2DAY.Cumulative","DR2DAY.Skip.to.Item"
"1","Sunday",16908,16908,NA
"2","Monday",18638,35546,NA
"3","Tuesday",22379,57925,NA
"4","Wednesday",16053,73978,NA
"5","Thursday",16614,90592,NA
"6","Friday",7671,98263,NA
"7","Saturday",2417,100680,NA
".","Missing",0,100680,NA
