"RFXT058.Code.or.Value","RFXT058.Value.Description","RFXT058.Count","RFXT058.Cumulative","RFXT058.Skip.to.Item"
"495 to 504","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
