"BIXC006K.Code.or.Value","BIXC006K.Value.Description","BIXC006K.Count","BIXC006K.Cumulative","BIXC006K.Skip.to.Item"
"12.79 to 883.07","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
