"URDP10LC.Code.or.Value","URDP10LC.Value.Description","URDP10LC.Count","URDP10LC.Cumulative","URDP10LC.Skip.to.Item"
"0","At or above the detection limit",2229,2229,NA
"1","Below lower detection limit",27,2256,NA
".","Missing",93,2349,NA
