"DRD350AQ.Code.or.Value","DRD350AQ.Value.Description","DRD350AQ.Count","DRD350AQ.Cumulative","DRD350AQ.Skip.to.Item"
"1 to 15","Range of Values",486,486,NA
".","Missing",9767,10253,NA
