"LBXSBU.Code.or.Value","LBXSBU.Value.Description","LBXSBU.Count","LBXSBU.Cumulative","LBXSBU.Skip.to.Item"
"1 to 122","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
