"AUXRR282.Code.or.Value","AUXRR282.Value.Description","AUXRR282.Count","AUXRR282.Cumulative","AUXRR282.Skip.to.Item"
"-12 to 90","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
