"BMXSAD4.Code.or.Value","BMXSAD4.Value.Description","BMXSAD4.Count","BMXSAD4.Cumulative","BMXSAD4.Skip.to.Item"
"11 to 35.6","Range of Values",358,358,NA
".","Missing",9455,9813,NA
