"DSQIFA.Code.or.Value","DSQIFA.Value.Description","DSQIFA.Count","DSQIFA.Cumulative","DSQIFA.Skip.to.Item"
"5 to 12000","Range of Values",2837,2837,NA
".","Missing",5563,8400,NA
