"LBDSY4.Code.or.Value","LBDSY4.Value.Description","LBDSY4.Count","LBDSY4.Cumulative","LBDSY4.Skip.to.Item"
"1","Positive",26,26,NA
"2","Negative",32,58,NA
"3","Indeterminate",0,58,NA
".","Missing",2918,2976,NA
