"LBXVBF.Code.or.Value","LBXVBF.Value.Description","LBXVBF.Count","LBXVBF.Cumulative","LBXVBF.Skip.to.Item"
"0.3543 to 20.3","Range of Values",330,330,NA
".","Missing",521,851,NA
