"CBD740.Code.or.Value","CBD740.Value.Description","CBD740.Count","CBD740.Cumulative","CBD740.Skip.to.Item"
"1","Yes",962,962,""
"2","No",1440,2402,"CBQ825"
"3","Do not shop for food",8,2410,"CBQ825"
"7","Refused",0,2410,"CBQ825"
"9","Don't know",36,2446,"CBQ825"
".","Missing",499,2945,""
