"SSII4NO2.Code.or.Value","SSII4NO2.Value.Description","SSII4NO2.Count","SSII4NO2.Cumulative","SSII4NO2.Skip.to.Item"
"0 to 3.5","Range of Values",921,921,NA
".","Missing",25,946,NA
