"BIXC067K.Code.or.Value","BIXC067K.Value.Description","BIXC067K.Count","BIXC067K.Cumulative","BIXC067K.Skip.to.Item"
"24.68 to 119.32","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
