"DS2LOC.Code.or.Value","DS2LOC.Value.Description","DS2LOC.Count","DS2LOC.Cumulative","DS2LOC.Skip.to.Item"
"1","HouseHold Interview",4459,4459,NA
"2","MEC Interview",843,5302,NA
"3","Phone Interview",601,5903,NA
".","Missing",0,5903,NA
