"DR2_330Z.Code.or.Value","DR2_330Z.Value.Description","DR2_330Z.Count","DR2_330Z.Cumulative","DR2_330Z.Skip.to.Item"
"0 to 10665","Range of Values",7605,7605,NA
".","Missing",1733,9338,NA
