"DXXPT77X.Code.or.Value","DXXPT77X.Value.Description","DXXPT77X.Count","DXXPT77X.Cumulative","DXXPT77X.Skip.to.Item"
"486.2 to 1069.2","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
