"URXUAS.Code.or.Value","URXUAS.Value.Description","URXUAS.Count","URXUAS.Cumulative","URXUAS.Skip.to.Item"
"0.28 to 1071.3","Range of Values",2662,2662,NA
".","Missing",93,2755,NA
