"AUXLR120.Code.or.Value","AUXLR120.Value.Description","AUXLR120.Count","AUXLR120.Cumulative","AUXLR120.Skip.to.Item"
"-37 to 78","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
