"BPXSY1.Code.or.Value","BPXSY1.Value.Description","BPXSY1.Count","BPXSY1.Cumulative","BPXSY1.Skip.to.Item"
"72 to 236","Range of Values",7145,7145,NA
".","Missing",2399,9544,NA
