"LBXWBCSI.Code.or.Value","LBXWBCSI.Value.Description","LBXWBCSI.Count","LBXWBCSI.Cumulative","LBXWBCSI.Skip.to.Item"
"2.3 to 99.99","Range of Values",8384,8384,NA
".","Missing",795,9179,NA
