"MCQ149.Code.or.Value","MCQ149.Value.Description","MCQ149.Count","MCQ149.Cumulative","MCQ149.Skip.to.Item"
"1","Yes",42,42,NA
"2","No",320,362,NA
"7","Refused",0,362,NA
"9","Don't know",1,363,NA
".","Missing",9282,9645,NA
