"DS2TTFAT.Code.or.Value","DS2TTFAT.Value.Description","DS2TTFAT.Count","DS2TTFAT.Cumulative","DS2TTFAT.Skip.to.Item"
"0 to 29","Range of Values",570,570,NA
".","Missing",9683,10253,NA
