"URDUA3LC.Code.or.Value","URDUA3LC.Value.Description","URDUA3LC.Count","URDUA3LC.Cumulative","URDUA3LC.Skip.to.Item"
"0","At or above the detection limit",92,92,NA
"1","Below lower detection limit",2496,2588,NA
".","Missing",104,2692,NA
