"LBDSCUSI.Code.or.Value","LBDSCUSI.Value.Description","LBDSCUSI.Count","LBDSCUSI.Cumulative","LBDSCUSI.Skip.to.Item"
"5.04 to 46.05","Range of Values",2329,2329,NA
".","Missing",265,2594,NA
