"AUDTYR16.Code.or.Value","AUDTYR16.Value.Description","AUDTYR16.Count","AUDTYR16.Cumulative","AUDTYR16.Skip.to.Item"
"0 to 1.72","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
