"LBXWBCSI.Code.or.Value","LBXWBCSI.Value.Description","LBXWBCSI.Count","LBXWBCSI.Cumulative","LBXWBCSI.Skip.to.Item"
"2.3 to 36.6","Range of Values",8952,8952,NA
".","Missing",977,9929,NA
