"WTBSMSMA.Code.or.Value","WTBSMSMA.Value.Description","WTBSMSMA.Count","WTBSMSMA.Cumulative","WTBSMSMA.Skip.to.Item"
"63628.672969 to 3656105.4719","Range of Values",284,284,NA
".","Missing",0,284,NA
