"RFXC130.Code.or.Value","RFXC130.Value.Description","RFXC130.Count","RFXC130.Cumulative","RFXC130.Skip.to.Item"
"-7.806 to 6.47","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
