"DRXTVE.Code.or.Value","DRXTVE.Value.Description","DRXTVE.Count","DRXTVE.Cumulative","DRXTVE.Skip.to.Item"
"0 to 153.26","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
