"MPQ030.Code.or.Value","MPQ030.Value.Description","MPQ030.Count","MPQ030.Cumulative","MPQ030.Skip.to.Item"
"1","Yes",523,523,""
"2","No",1377,1900,"MPD050a"
"7","Refused",0,1900,"MPD050a"
"9","Don't know",62,1962,"MPD050a"
".","Missing",2918,4880,""
