"AUXLR283.Code.or.Value","AUXLR283.Value.Description","AUXLR283.Count","AUXLR283.Cumulative","AUXLR283.Skip.to.Item"
"-36 to 76","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
