"HUQ030.Code.or.Value","HUQ030.Value.Description","HUQ030.Count","HUQ030.Cumulative","HUQ030.Skip.to.Item"
"1","Yes",9568,9568,""
"2","There is no place",1404,10972,"HUQ050"
"3","There is more than one place",67,11039,""
"7","Refused",0,11039,"HUQ050"
"9","Don't know",0,11039,"HUQ050"
".","Missing",0,11039,""
