"WBXP035.Code.or.Value","WBXP035.Value.Description","WBXP035.Count","WBXP035.Cumulative","WBXP035.Skip.to.Item"
"-172.2171 to 162.8714","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
