"DRD350J.Code.or.Value","DRD350J.Value.Description","DRD350J.Count","DRD350J.Cumulative","DRD350J.Skip.to.Item"
"1","Yes",16,16,""
"2","No",3864,3880,"DRD350K"
".","Missing",5458,9338,""
