"AUDTYR63.Code.or.Value","AUDTYR63.Value.Description","AUDTYR63.Count","AUDTYR63.Cumulative","AUDTYR63.Skip.to.Item"
"0 to 1.94","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
