"DSDSUPP.Code.or.Value","DSDSUPP.Value.Description","DSDSUPP.Count","DSDSUPP.Cumulative","DSDSUPP.Skip.to.Item"
"Supplement Name","Value was recorded",5694,5694,NA
"< blank >","Missing",0,5694,NA
