"DUQ330.Code.or.Value","DUQ330.Value.Description","DUQ330.Count","DUQ330.Cumulative","DUQ330.Skip.to.Item"
"1","Yes",227,227,""
"2","No",373,600,"DUQ370"
"7","Refused",2,602,"DUQ370"
"9","Don't know",1,603,"DUQ370"
".","Missing",2682,3285,""
