"WHD100a.Code.or.Value","WHD100a.Value.Description","WHD100a.Count","WHD100a.Cumulative","WHD100a.Skip.to.Item"
"10","Ate less food (amount)",1302,1302,NA
"77","Refused",0,1302,NA
"99","Don't know",0,1302,NA
".","Missing",4911,6213,NA
