"DXXPT43X.Code.or.Value","DXXPT43X.Value.Description","DXXPT43X.Count","DXXPT43X.Cumulative","DXXPT43X.Skip.to.Item"
"101.9 to 747.6","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
